啊	啊	a·	不错啊，多美啊，快来啊，很好啊，小心啊	（助词）表示赞叹、惊叹、疑问、肯定、辩解、催促，停顿、列举等语气	
坝	壩	bà	水坝，大坝		
耙	耙	bà	钉齿耙，圆盘耙，深耕细耙	在已耕过的地上作碎土平整工作	
灞	灞	bà	灞水，霸城，灞陵	（水名，地名）	
败	敗	bài	败仗，失败		
稗	稗	bài	稗子，稗官	稗草，一种一年生禾草	
拜	拜	bài	拜访，礼拜		
半	半	bàn			
伴	伴	bàn	伴随，伙伴		
绊	絆	bàn			
瓣	瓣	bàn	花瓣，豆瓣，心瓣		
拌	拌	bàn	拌面，搅拌		
扮	扮	bàn	扮演，装扮		
办	辦	bàn	办事，举办		
湴	湴	bàn	淖湴	（方言）烂泥	
傍	傍	bàng	傍晚		
磅	磅	bàng	磅秤，过磅，磅体重，磅一磅	称重量的仪器；用磅秤称重量；（量词）英美制重量单位	
蚌	蚌	bàng	蚌壳，河蚌		
谤	謗	bàng	诽谤		
蒡	蒡	bàng	牛蒡子		
镑	鎊	bàng	英镑		
棒	棒	bàng	棒球，球棒		
鲍	鮑	bào	鲍鱼		
报	報	bào	报告，报纸，报名		
爆	爆	bào	爆发，引爆		
抱	抱	bào	抱怨，怀抱		
豹	豹	bào	豹纹，海豹		
暴	暴	bào	暴力，暴躁，狂暴		
刨	刨	bào	刨子，刨刀，刨床，刨冰，电刨	（名词）推平或削平木材、金属等的工具	鉋，鑤
趵	趵	bào	趵突泉	（方言）跳跃	
拔	拔	bá	拔河，提拔		
跋	跋	bá	跋扈，跋涉		
茇	茇	bá	荜茇	草根	
菝	菝	bá	菝葜	一种植物	
白	白	bái	白色，空白		
雹	雹	báo	冰雹		
薄	薄	báo	薄薄，薄片，薄饼，单薄，很薄	扁平，不厚	
惫	憊	bèi	疲惫		
贝	貝	bèi	贝壳，扇贝		
狈	狽	bèi	狼狈		
蓓	蓓	bèi	蓓蕾	还没开的花	
悖	悖	bèi	悖论	荒谬，错误，违背	
焙	焙	bèi	烘焙		
备	備	bèi	备胎，准备		
背	背	bèi	背部，背后，背景，背面，背影，背光，背脊，背叛，背弃，背约，背阴，背离，背书，背诵，背熟，背静，背运，背时，背听，违背，驼背，后背，手背，纸背，耳背，很背，背对着，背着脸，背地里，背着人，背台词，手气背，背山面海，背井离乡，背道而驰，背信弃义，背水一战，腹背受敌，芒刺在背，汗流浃背，人心向背，力透纸背，背街小巷	（名词）背部；（动词）默念，记忆，凭记忆读出来；（形容词）偏僻；听力不好	
钡	鋇	bèi		化学元素56	
倍	倍	bèi	一倍，两倍		
被	被	bèi	被子，被害		
辈	輩	bèi	辈子，前辈		
糒	糒	bèi	醪糒	干饭	
笨	笨	bèn	笨拙		
泵	泵	bèng			
镚	鏰	bèng	镚子，钢镚儿	硬币	
迸	迸	bèng	迸发，迸裂，迸溅		
蹦	蹦	bèng	蹦蹦跳跳		
绷	繃	bèng	绷硬，绷亮，绷了一道缝儿	裂开；（用于形容词前表示程度深）非常，很	綳
蚌	蚌	bèng	蚌埠	（地名）	
甭	甭	béng	甭客气		
必	必	bì	必要，何必		
闭	閉	bì	闭门，关闭		
弊	弊	bì	作弊		
避	避	bì	避开，逃避		
毕	畢	bì	毕业，完毕		
币	幣	bì	货币		
臂	臂	bì	臂膀，臂力，一臂之力		
壁	壁	bì	壁虎，墙壁		
毙	斃	bì	毙了，枪毙		
庇	庇	bì	庇护		
蔽	蔽	bì	遮蔽，蒙蔽，屏蔽		
碧	碧	bì	碧绿，碧玉		
裨	裨	bì	裨益，无裨于事，大有裨益	补助	
狴	狴	bì	狴犴	传说中的兽名	
觱	觱	bì	觱篥	一种古代管乐器	
赑	贔	bì	赑屃	用力的样子	
陛	陛	bì	陛下		
愎	愎	bì	刚愎自用	倔强，固执	
哔	嗶	bì			
筚	篳	bì	蓬门筚户，筚路蓝缕	用竹子等编成的篱笆	
辟	辟	bì	辟邪，复辟	国王，天子，避免	
痹	痺	bì	麻痹		
弼	弼	bì	辅弼	辅助	
敝	敝	bì	敝人		
璧	璧	bì	完璧归赵		
秘	秘	bì	秘鲁		
箆	箆	bì	竹箆		
荜	蓽	bì	荜茇，蓬荜生辉	一种藤本植物	
铋	鉍	bì		化學元素83	
苾	苾	bì		芳香	
跸	蹕	bì	驻跸	泛指跟帝王行止有关的事情	
馝	馝	bì	馝馞	香气浓郁	
贲	賁	bì	贲临，贲然	装饰美好，华丽，光洁	
襞	襞	bì	襞积，皱襞	衣服、皮肤、内部器官等等的皱纹	
嬖	嬖	bì			
滗	潷	bì			
婢	婢	bì/bèi	婢女，奴婢		
殡	殯	bìn	殡仪馆，出殡		
鬓	鬢	bìn	鬓发，双鬓		
摈	擯	bìn	摈弃，摈除	排除，遗弃	
病	病	bìng	病人，生病		
并	併	bìng	合并		
并	並	bìng	并且，并没有		
鼻	鼻	bí	鼻子，象鼻		
荸	荸	bí	荸荠		
擘	擘	bò	巨擘，文坛巨擘	大拇指；巨擘：杰出的人物	
簸	簸	bò	簸箕	（名词）	
薄	薄	bò	薄荷，薄荷糖，薄荷油，薄荷脑，薄荷叶	薄荷，一种草本植物	
伯	伯	bó	伯父，伯母，伯爵，伯兄，伯伯，大伯，老伯，伯仲之间，伯乐相马	父亲的哥哥	
薄	薄	bó	薄弱，薄酬，浅薄，刻薄，菲薄，薄利多销	（用于合成词和成语）扁平，不厚	
柏	柏	bó	柏林，柏拉图，都柏林	（地名、人名）译音字	
脖	脖	bó	脖子		
搏	搏	bó	搏斗，肉搏		
膊	膊	bó	胳膊，赤膊	上肢，上身	
泊	泊	bó	停泊，漂泊，泊位，淡泊	停船靠岸	
勃	勃	bó	兴致勃勃		
渤	渤	bó	渤海		
博	博	bó	博士，博爱		
驳	駁	bó	驳斥，反驳		
铂	鉑	bó		化学元素78	
帛	帛	bó	帛琉，布帛		
舶	舶	bó	船舶，舶来品	大船	
箔	箔	bó	金箔，铝箔纸		
礴	礴	bó	磅礴，气势磅礴		
亳	亳	bó	亳州	（地名）	
馞	馞	bó	馝馞	香气浓郁	
僰	僰	bó		中国古代少数民族之一	
欂	欂	bó	欂栌	斗栱，一种梁柱间的衔接结构	
钹	鈸	bó/bá	铙钹	一种铜质的打击乐器	
布	布	bù	布料，麻布	（名词）	
布	佈	bù	布告，布施，公布，分布，摆布	（动词）遍及，散满，宣布，宣告，安排，设置	
部	部	bù	部分，全部		
簿	簿	bù	电话簿		
步	步	bù	步行，进步		
怖	怖	bù	恐怖		
不	不	bù			
钚	鈈	bù		化学元素94	
埠	埠	bù	埠头，开埠，船埠，华埠	码头，通商的口岸城市	
巴	巴	bā	巴结，巴望，巴士，巴不得		
吧	吧	bā	吧台，吧嗒，吧唧，酒吧，沙拉吧，吧的一声	（音译词）小酒馆；（象声词）爆裂声	
笆	笆	bā	篱笆		
芭	芭	bā	芭蕉		
疤	疤	bā	疤痕，伤疤		
叭	叭	bā			
捌	捌	bā		数字“八”的大写	
粑	粑	bā	糍粑	饼类食品	
扒	扒	bā	扒洞，扒土，扒堤，扒开，扒皮，扒衣裳，扒下来，扒在一起	刨，挖，拆，拨动，剥开，扯掉	
八	八	bā/bá		（数字）	
掰	掰	bāi			
般	般	bān	一般，那般，百般，万般无奈，如此这般	种，样，种类	
扳	扳	bān	扳手，扳机		
班	班	bān	班长，上班		
斑	斑	bān	斑点，雀斑		
瘢	瘢	bān	瘢痕	创伤痊愈后留下的疤痕	
颁	頒	bān	颁奖，颁发，颁布		
搬	搬	bān	搬家，搬运，搬移		
梆	梆	bāng	梆子，梆子腔	（象声词）敲打木头的声音	
邦	邦	bāng	邦国，联邦		
帮	幫	bāng	帮忙，帮助		
浜	浜	bāng	河浜，洋泾浜	（方言）小河，小河沟	
孢	孢	bāo	孢子	植物产生的生殖细胞	
胞	胞	bāo	胞胎，同胞		
包	包	bāo	包含，包裹		
剥	剝	bāo	剝皮，剝殼，剝蘋果	去掉外面的皮壳	
褒	褒	bāo	褒贬		
龅	齙	bāo	龅牙	突出唇外的牙齿	
苞	苞	bāo	花苞，含苞待放		
碑	碑	bēi	碑文，石碑		
背	背	bēi	背债，背负，背包，背枪，背黑锅，背包袱，背小孩，背责任，背起来，背得起，背负重任	（动词）用脊背驮东西	揹
杯	杯	bēi	杯子，茶杯		盃
卑	卑	bēi	卑微，自卑		
悲	悲	bēi	悲哀，慈悲		
奔	奔	bēn	奔走，奔驰，狂奔		
贲	賁	bēn	贲张，贲门，虎贲	膈膜，横隔膜	
绷	繃	bēng	绷紧，绷带	张紧，拉紧	綳
崩	崩	bēng	崩溃，山崩		
北	北	běi	北边，北部，败北		
本	本	běn	本来，原本		
畚	畚	běn	畚箕		
苯	苯	běn	聚苯乙烯		
绷	繃	běng	绷脸	板着，强忍住	
逼	逼	bī	逼迫		
屄	屄	bī		俗称女性外生殖器	
宾	賓	bīn	宾馆，贵宾		
滨	濱	bīn			
缤	繽	bīn	缤纷	繁多而交错杂乱	
斌	斌	bīn			
彬	彬	bīn	彬彬有礼		
濒	瀕	bīn	濒临，濒死		
傧	儐	bīn	傧相，男傧相，女傧相	举行婚礼时陪伴新郎新娘的人	
冰	冰	bīng	冰箱，结冰		
兵	兵	bīng	兵役，士兵		
并	并	bīng		（地名）山西省太原市的别称	
槟	檳	bīng/bīn	槟榔		
剥	剝	bō	剥夺，剥削，剥离，生吞活剥	（用于合成词和成语）去掉外面的皮壳	
玻	玻	bō	玻璃		
拨	撥	bō	拨号，挑拨		
波	波	bō	波浪，电波		
菠	菠	bō	菠菜		
钵	缽	bō	饭钵，衣钵	一种圆形器具，像碗而口略小	鉢，砵
般	般	bō	般若	（梵文音译词）	
趵	趵	bō		踢	
播	播	bō/bò	播放，传播		
晡	晡	bū	晡礼	申时，下午三点到五点	
靶	靶	bǎ	靶子，打靶		
把	把	bǎ	把握，火把		
钯	鈀	bǎ		化学元素46	
摆	擺	bǎi	摆设，摇摆		
百	百	bǎi	百万，一百	（数字）	
柏	柏	bǎi	柏树，松柏，侧柏	一种常绿乔木	
摆	襬	bǎi	裙摆，下摆	衣裙的下端	
佰	佰	bǎi		数字“百”的大写	
捭	捭	bǎi	捭阖	分开	
伯	伯	bǎi	大伯子	丈夫的哥哥	
柏	柏	bǎi/bó	柏油，柏油路	沥青	
板	板	bǎn	板块，木板		
舨	舨	bǎn	舢舨		
版	版	bǎn	版权，出版		
板	闆	bǎn	老板		
坂	坂	bǎn		山坡，斜坡	阪
绑	綁	bǎng	绑架，捆绑		
膀	膀	bǎng	肩膀，臂膀，翅膀		
榜	榜	bǎng	排行榜		
葆	葆	bǎo		草木繁盛	
饱	飽	bǎo	饱满，饱和，吃饱		
堡	堡	bǎo	堡垒，城堡		
宝	寶	bǎo	宝库，宝藏，珍宝		
鸨	鴇	bǎo	鸨母，老鸨	开妓院的女老板	
保	保	bǎo	保护，保持		
比	比	bǐ	比较，比率，反比		
妣	妣	bǐ	考妣，如丧考妣	指过世的母亲	
吡	吡	bǐ	吡啶，吡咯	（音译用字）一种有机化合物	
笔	筆	bǐ	笔墨，毛笔		
彼	彼	bǐ	彼此，彼岸		
匕	匕	bǐ	匕首		
秕	秕	bǐ	秕子，秕糠，秕政	中空或不饱满的谷粒	
鄙	鄙	bǐ/bì	鄙夷，卑鄙		
屏	屏	bǐng	屏气，屏息，屏除，屏弃，屏住呼吸	压制，抑止，停止，排除	
丙	丙	bǐng			
禀	稟	bǐng	禀报，禀赋，禀性		
炳	炳	bǐng			
柄	柄	bǐng	把柄，话柄，笑柄		
秉	秉	bǐng	秉持，秉性，秉承		
饼	餅	bǐng	饼干，馅饼		
昺	昺	bǐng		明亮，光明	
簸	簸	bǒ	颠簸	（动词）	
跛	跛	bǒ	跛脚，跛子		
补	補	bǔ	补充，弥补		
捕	捕	bǔ	捕捉，逮捕		
哺	哺	bǔ	哺乳		
卜	卜	bǔ	卜卦，占卜		
踹	踹	chuài	踹门，踹一脚		
揣	揣	chuài	挣揣	挣扎	
啜	啜	chuài		（姓）	
嘬	嘬	chuài	嘬食，嘬饭	咬，大口吞咽	
膪	膪	chuài	囊膪		
串	串	chuàn	串通，字串		
创	創	chuàng	创办，创建，创刊，创举，首创	初次，开始做	
怆	愴	chuàng		悲伤，哀伤	
传	傳	chuán	传统，传授，传奇，传说，传承，传播，传染，传话，传唤，传神，传热，传情，相传，据传，遗传，宣传	转授，递送，散布，表达	
船	船	chuán	船长，渔船		
椽	椽	chuán	椽子，椽笔	古代建筑中承接木条和屋顶的木材	
床	床	chuáng	床单，起床		牀
幢	幢	chuáng	幢幡，旗幢，石幢，经幢，人影幢幢	（古）旌旗的一种；刻着佛号或经咒的石柱	
捶	捶	chuí	捶打，捶背	用拳头或棍棒敲打	搥
锤	錘	chuí	锤子，铁锤	敲打东西的工具；用锤子敲打	鎚
垂	垂	chuí	垂直，下垂		
槌	槌	chuí	木槌，棒槌	敲打东西的器具	
陲	陲	chuí	边陲	边界，边地，边疆	
绰	綽	chuò	绰号，阔绰		
啜	啜	chuò	啜泣	喝；哭泣而抽噎的样子	
龊	齪	chuò	龌龊		
辍	輟	chuò	辍学，中辍		
辵	辵	chuò	辵部	忽走忽停	
揣	揣	chuāi	揣手，揣在怀里	藏在衣服里	
搋	搋	chuāi	搋面，搋子	用手使劲揉或压东西	
穿	穿	chuān	穿孔，试穿		
川	川	chuān			
窗	窗	chuāng	窗户，门窗		
创	創	chuāng	创伤，创痕，创口，重创，刀创，重创敌军	伤口，打击	
疮	瘡	chuāng	疮疤，痔疮		
炊	炊	chuī	炊具，炊事，炊烟		
吹	吹	chuī	吹牛，吹口哨，自吹		
戳	戳	chuō	戳破，邮戳		
揣	揣	chuǎi	揣测，揣度，揣摩	估计，估量，推测，忖度	
喘	喘	chuǎn	喘气，哮喘		
舛	舛	chuǎn	舛差，舛错，命运多舛	困厄，不顺利，错误，错乱	
闯	闖	chuǎng	闯祸，乱闯		
刹	剎	chà	刹那，古刹，刹那间，古刹	佛寺	
杈	杈	chà	树杈	植物的分枝	
诧	詫	chà	诧异		
差	差	chà	差劲，很差，差一点，差不多	缺，不好，不相合	
岔	岔	chà	打岔，分岔路，三岔路口	道路分支的地方	
叉	叉	chà	劈叉，排叉儿	叉开双腿的动作	
姹	姹	chà	姹紫嫣红	艳丽	奼
衩	衩	chà		衣裙下边开的口子	
汊	汊	chà	汊子，汊流，河汊，湖汊，河汊子	分支的小河	
虿	蠆	chài	蜂虿	古书上说的蝎子之类的毒虫	
忏	懺	chàn	忏悔		
颤	顫	chàn	颤抖，颤动，震颤	发抖	
羼	羼	chàn	羼杂，羼入	搀和，混杂	
怅	悵	chàng	怅惘，惆怅	伤感	
畅	暢	chàng	畅销，舒畅		
唱	唱	chàng	唱歌，吟唱	口发出歌声	
倡	倡	chàng	倡导，提倡	带头发起	
鬯	鬯	chàng	鬯圭，鬯酒，鬯逐	古代祭祀等用的香酒	
茶	茶	chá	茶叶，喝茶		
查	查	chá	查看，检查	察看，核对	
察	察	chá	察觉，考察		
搽	搽	chá		涂抹	
茬	茬	chá	找茬		
碴	碴	chá	找碴，话碴	小碎片；借口，毛病	
槎	槎	chá	泛槎，星槎	木筏	
猹	猹	chá		一种野兽	
嵖	嵖	chá	嵖岈	（山名）	
檫	檫	chá		一种树木	
垞	垞	chá		小山丘，小土山	
豺	豺	chái	豺狼		
侪	儕	chái	同侪	同辈，同类的人	
柴	柴	chái	柴油，火柴		
禅	禪	chán	禅宗，坐禅	指与佛教有关的事物	
蟾	蟾	chán	蟾蜍，蟾宫	癞蛤蟆	
缠	纏	chán	缠绕，盘缠		
谗	讒	chán	谗言，谗害	诋毁，说别人坏话	
潺	潺	chán	潺潺流水，溪水潺潺	流水声	
馋	饞	chán	馋嘴，眼馋	贪吃	
蝉	蟬	chán	蝉蜕，蝉联		
孱	孱	chán	孱弱	软弱，弱小	
单	單	chán	单于	匈奴君主的称号	
澶	澶	chán	澶渊	（古地名）	
肠	腸	cháng	肠道，心肠		
长	長	cháng	长度，长远，专长，擅长		
嫦	嫦	cháng	嫦娥	传说中月宫的女人	
尝	嚐	cháng	尝鲜，品尝		
场	場	cháng	一场，一场梦	（量词）	
偿	償	cháng	偿还，赔偿		
徜	徜	cháng	徜徉	悠闲漫步	
常	常	cháng	常常，正常		
尝	嘗	cháng	尝试，未尝		
苌	萇	cháng	苌楚	（古）羊桃、猕猴桃的别名	
嘲	嘲	cháo	嘲笑，讥嘲		
巢	巢	cháo	巢穴，鸟巢		
潮	潮	cháo	潮水，高潮		
朝	朝	cháo	朝向，朝天，朝阳，王朝，朝廷	向，面对着	
撤	撤	chè	撤退，撤离		
澈	澈	chè	清澈		
彻	徹	chè	彻底		
掣	掣	chè	掣肘，牵掣，风驰电掣	拽，拉；迅疾，闪过	
趁	趁	chèn	趁热，趁机		
衬	襯	chèn	衬衫，衬托		
谶	讖	chèn	谶言	将来要应验的预言	
龀	齔	chèn		儿童换牙	
称	稱	chèn/chèng	称职，称心，称体，对称，市称，磅称，匀称，称心如意	适合，相等，相当	
秤	秤	chèng	磅秤，天秤座		稱
忱	忱	chén	热忱		
陈	陳	chén	陈旧，陈述，陈列		
晨	晨	chén	晨练，早晨		
臣	臣	chén			
辰	辰	chén	诞辰，星辰，时辰		
沉	沉	chén	沉默，下沉		沈
尘	塵	chén	尘土，红尘		
梣	梣	chén	梣树	小叶白蜡树，一种落叶小乔木	
谌	諶	chén		忠诚，真诚，诚信	
成	成	chéng	成功，变成		
程	程	chéng	程度，过程		
惩	懲	chéng	惩罚		
丞	丞	chéng	丞相		
乘	乘	chéng	乘客，搭乘		
城	城	chéng	城市，长城		
盛	盛	chéng	盛饭，盛汤	用容器装东西	
澄	澄	chéng	澄清		
诚	誠	chéng	诚恳		
呈	呈	chéng	呈现		
承	承	chéng	承认，承受		
橙	橙	chéng	橙汁，柳橙		
埕	埕	chéng	蛏埕，酒埕	养蛏的田；酒瓮	
澂	澂	chéng	澂江	（地名）	澄
晟	晟	chéng		（姓）	
宬	宬	chéng	皇史宬	（古）藏书室	
裎	裎	chéng	裸裎，袒裼裸裎	不穿衣服，光着身子	
珹	珹	chéng			
叱	叱	chì	叱咤		
赤	赤	chì			
斥	斥	chì	斥责，喝斥		
炽	熾	chì	炽热	火旺	
敕	敕	chì	敕令	皇帝的命令	
翅	翅	chì	翅膀，鱼翅		
彳	彳	chì	彳亍	小步，走路时左脚前行	
饬	飭	chì	饬令，整饬	谨慎，恭敬	
池	池	chí	池塘，泳池		
持	持	chí	持有，支持		
迟	遲	chí	迟钝，来迟		
驰	馳	chí	驰名，奔驰		
匙	匙	chí	汤匙，羹匙，茶匙，药匙	勺子	
篪	篪	chí		一种古代吹奏乐器	
弛	弛	chí	松弛		
墀	墀	chí	丹墀	台阶上的平地或空地	
茌	茌	chí	茌平	（地名）	
铳	銃	chòng	火铳，鸟铳	枪械，火枪	
臭	臭	chòu	臭味，发臭	恶劣的气味	
重	重	chóng	重新，重复，重来，重叠，重建，重申，重演，重逢，重温，重围，重洋，重重，双重，九重天，重整旗鼓，重蹈覆辙，重见天日，旧地重游，卷土重来	再，另，又一次	
崇	崇	chóng	崇拜，崇高		
虫	蟲	chóng			
仇	仇	chóu	仇人，仇恨，仇敌，结仇，恩仇，报仇，深仇大恨，恩将仇报，疾恶如仇	敌人，怨恨，敌意，报复	
酬	酬	chóu	酬金，报酬		
愁	愁	chóu	愁闷，忧愁		
筹	籌	chóu	筹备，筹款，筹募		
绸	綢	chóu	绸缎，丝绸		
畴	疇	chóu	范畴	种类，同类	
惆	惆	chóu	惆怅		
踌	躊	chóu	踌躇		
稠	稠	chóu	稠密		
俦	儔	chóu	俦侣，俦伴	伴侣，同伴，同类，同辈	
畜	畜	chù	畜类，牲畜，家畜	（名词）人所饲养的禽兽	
矗	矗	chù	矗立		
触	觸	chù	触摸，接触		
处	處	chù	处所，处长，好处，远处，到处	（名词）地方	
搐	搐	chù	抽搐	牵动	
怵	怵	chù	怵惕，发怵	恐惧	
黜	黜	chù	罢黜		
亍	亍	chù	彳亍	小步，走路时右脚前行	
憷	憷	chù	憷头，发憷	害怕，恐惧，畏缩	
躇	躇	chú	踌躇		
锄	鋤	chú	锄头，锄草，锄奸		
蜍	蜍	chú	蟾蜍		
刍	芻	chú	反刍动物	喂牲畜的草	
橱	櫥	chú	橱窗，壁橱		
厨	廚	chú	厨房，下厨		
雏	雛	chú	雏菊，雏形		
除	除	chú	除非，解除		
滁	滁	chú	滁河，滁州	（水名，地名）	
鹑	鶉	chún	鹌鹑		
淳	淳	chún	淳朴		
醇	醇	chún	醇厚，甘醇		
纯	純	chún	纯朴，单纯		
唇	脣	chún	唇舌，嘴唇		
插	插	chā	插入，穿插	放入	
叉	叉	chā	叉子，叉腰，叉手，叉儿，交叉，刀叉，鱼叉，钢叉，三叉戟	一种前端有几个长齿的长柄器具；用叉子扎；交错	
差	差	chā	差别，差异，差错，差距，偏差，时差	不同，不同点，错误	
杈	杈	chā		一种叉形农具，用以堆柴草	
碴	碴	chā	胡子拉碴	多日没刮脸的样子	
锸	鍤	chā		一种掘土的工具，铁锹	
拆	拆	chāi	拆开，拆卸，拆穿		
钗	釵	chāi			
差	差	chāi	差遣，差役，差使，差事，兼差，出差，邮差，当差	派遣去作事	
掺	摻	chān	掺和		
搀	攙	chān	搀扶，搀和	扶助，混合	
猖	猖	chāng	猖狂，猖獗		
伥	倀	chāng	为虎作伥		
昌	昌	chāng	昌盛		
菖	菖	chāng	菖蒲		
鲳	鯧	chāng	鲳鱼		
娼	娼	chāng	娼妓	妓女	
钞	鈔	chāo			
抄	抄	chāo	抄写，手抄		
超	超	chāo	超越，高超		
焯	焯	chāo	焯菠菜	在开水中略煮一下	
车	車	chē	汽车，马车，公车，火车，纺车，水车，风车	指有轮子的运输工具	
车	車	chē/jū	车马，车驾，车骑，车辙，车载斗量，车笠之盟，车在马前，车殆马烦，车怠马烦，轻车熟路，前车之鉴，辅车相依，辅车唇齿，杯水车薪，闭门造车，学富五车，安步当车	（用于古汉语）	
伡	俥	chē/jū	大伡		車
嗔	嗔	chēn	嗔怪，嗔责	生气，怒	
琛	琛	chēn		珍宝	
瞋	瞋	chēn	瞋目	睁着眼睛怒视	
郴	郴	chēn	郴州	（地名）	
蛏	蟶	chēng	蛏子	一种介壳软体动物	
撑	撐	chēng	撑伞，支撑		
瞠	瞠	chēng	瞠目，瞠目结舌	瞪着眼睛	
称	稱	chēng	称呼，声称，名称，简称，自称，俗称，称一称	叫，叫做；测定重量	
琤	琤	chēng	琮琤	玉石或其他物体的相击声	
扯	扯	chě	扯谈，拉扯		
碜	磣	chěn	寒碜，牙碜	食物里面有沙子	
骋	騁	chěng	驰骋		
逞	逞	chěng	逞强，得逞		
吃	吃	chī	吃饭，小吃		喫
痴	癡	chī	痴情，白痴		
哧	哧	chī	哧哧，噗哧	（象声词）	
魑	魑	chī	魑魅	传说中山林里的鬼怪	
嗤	嗤	chī			
笞	笞	chī	笞打，鞭笞	用鞭、杖、或竹板打	
鸱	鴟	chī	鸱鸮，鸱鸺	鹞鹰，一种猛禽	
蚩	蚩	chī	蚩尤	无知，傻	
眵	眵	chī	眼眵	眼屎	
螭	螭	chī		没有角的龙	
冲	衝	chōng	冲动，冲突		
涌	涌	chōng	河涌，虾涌	（地名，方言）小河，河汊	
充	充	chōng	充分，充满，充斥		
忡	忡	chōng	怔忡，忧心忡忡		
冲	沖	chōng	冲洗		
憧	憧	chōng	憧憬	憧憬：向往	
舂	舂	chōng			
抽	抽	chōu	抽烟，抽奖，抽象		
出	出	chū	出来，说出		
出	齣	chū	一出戏		
初	初	chū	初级，起初		
樗	樗	chū/shū	樗栎，山樗	臭椿，一种落叶乔木	
春	春	chūn	春天，青春		
椿	椿	chūn	椿树，香椿	一种落叶乔木	
蝽	蝽	chūn		椿象，一种昆虫	
叉	叉	chǎ	叉开，叉腿，叉开双腿	分开成叉形	
蹅	蹅	chǎ		踩，踏	
衩	衩	chǎ	裤衩	贴身的短裤	
镲	鑔	chǎ		一种打击乐器	
产	產	chǎn	产品，生产		
铲	鏟	chǎn	铲子，铲土，铁铲		
谄	諂	chǎn	谄媚，谄谀		
阐	闡	chǎn	阐释，阐明，阐述		
氅	氅	chǎng	大氅	大衣	
场	場	chǎng	场合，广场		
厂	廠	chǎng	工厂，厂商		
敞	敞	chǎng	敞开，宽敞		
昶	昶	chǎng			
炒	炒	chǎo	炒菜，小炒		
吵	吵	chǎo	吵架，争吵		
褫	褫	chǐ	褫职，褫奪公權	革除，夺去；剥去衣服	
侈	侈	chǐ	奢侈		
尺	尺	chǐ			
耻	恥	chǐ	耻辱，无耻		
呎	呎	chǐ		英尺	
齿	齒	chǐ	齿轮，牙齿		
豉	豉	chǐ/shì	豆豉		
宠	寵	chǒng	宠物，宠坏		
丑	丑	chǒu	丑角，小丑		
丑	醜	chǒu	丑陋，出丑		
瞅	瞅	chǒu	瞅见，瞅得见，瞅不见，瞅空儿	（方言）看，看见，顾视，理睬	偢
处	處	chǔ	处理，处罚，惩处，相处	（动词）	
褚	褚	chǔ		（姓）	
楚	楚	chǔ	楚楚可怜，清楚，苦楚		
杵	杵	chǔ			
础	礎	chǔ	基础		
储	儲	chǔ/chú	储存，积蓄		
蠢	蠢	chǔn	蠢笨，愚蠢		
篡	篡	cuàn	篡位，篡改		
窜	竄	cuàn	流窜，逃窜		
爨	爨	cuàn		灶；烧火做饭	
粹	粹	cuì	精粹，纯粹		
脆	脆	cuì	干脆		
啐	啐	cuì	啐唾沫	用力吐出来	
焠	焠	cuì	焠炼	烧，灼	
淬	淬	cuì	淬砺	刻苦锻炼	
悴	悴	cuì	憔悴		
萃	萃	cuì	荟萃，出类拔萃		
