啊	啊	a·	不错啊，多美啊，快来啊，很好啊，小心啊	（助词）表示赞叹、惊叹、疑问、肯定、辩解、催促，停顿、列举等语气	
背	背	bèi	背部，背后，背景，背面，背影，背光，背脊，背叛，背弃，背约，背阴，背离，背书，背诵，背熟，背静，背运，背时，背听，违背，驼背，后背，手背，纸背，耳背，很背，背对着，背着脸，背地里，背着人，背台词，手气背，背山面海，背井离乡，背道而驰，背信弃义，背水一战，腹背受敌，芒刺在背，汗流浃背，人心向背，力透纸背，背街小巷	（名词）背部；（动词）默念，记忆，凭记忆读出来；（形容词）偏僻；听力不好	
钡	鋇	bèi		化学元素56	
倍	倍	bèi	一倍，两倍		
被	被	bèi	被子，被害		
辈	輩	bèi	辈子，前辈		
糒	糒	bèi	醪糒	干饭	
笨	笨	bèn	笨拙		
泵	泵	bèng			
镚	鏰	bèng	镚子，钢镚儿	硬币	
迸	迸	bèng	迸发，迸裂，迸溅		
蹦	蹦	bèng	蹦蹦跳跳		
绷	繃	bèng	绷硬，绷亮，绷了一道缝儿	裂开；（用于形容词前表示程度深）非常，很	綳
蚌	蚌	bèng	蚌埠	（地名）	
甭	甭	béng	甭客气		
必	必	bì	必要，何必		
闭	閉	bì	闭门，关闭		
弊	弊	bì	作弊		
避	避	bì	避开，逃避		
毕	畢	bì	毕业，完毕		
币	幣	bì	货币		
臂	臂	bì	臂膀，臂力，一臂之力		
壁	壁	bì	壁虎，墙壁		
毙	斃	bì	毙了，枪毙		
庇	庇	bì	庇护		
蔽	蔽	bì	遮蔽，蒙蔽，屏蔽		
碧	碧	bì	碧绿，碧玉		
裨	裨	bì	裨益，无裨于事，大有裨益	补助	
狴	狴	bì	狴犴	传说中的兽名	
觱	觱	bì	觱篥	一种古代管乐器	
赑	贔	bì	赑屃	用力的样子	
陛	陛	bì	陛下		
愎	愎	bì	刚愎自用	倔强，固执	
哔	嗶	bì			
筚	篳	bì	蓬门筚户，筚路蓝缕	用竹子等编成的篱笆	
辟	辟	bì	辟邪，复辟	国王，天子，避免	
痹	痺	bì	麻痹		
弼	弼	bì	辅弼	辅助	
敝	敝	bì	敝人		
璧	璧	bì	完璧归赵		
秘	秘	bì	秘鲁		
箆	箆	bì	竹箆		
荜	蓽	bì	荜茇，蓬荜生辉	一种藤本植物	
铋	鉍	bì		化學元素83	
苾	苾	bì		芳香	
跸	蹕	bì	驻跸	泛指跟帝王行止有关的事情	
馝	馝	bì	馝馞	香气浓郁	
贲	賁	bì	贲临，贲然	装饰美好，华丽，光洁	
襞	襞	bì	襞积，皱襞	衣服、皮肤、内部器官等等的皱纹	
嬖	嬖	bì			
滗	潷	bì			
婢	婢	bì/bèi	婢女，奴婢		
殡	殯	bìn	殡仪馆，出殡		
鬓	鬢	bìn	鬓发，双鬓		
摈	擯	bìn	摈弃，摈除	排除，遗弃	
病	病	bìng	病人，生病		
并	併	bìng	合并		
并	並	bìng	并且，并没有		
鼻	鼻	bí	鼻子，象鼻		
荸	荸	bí	荸荠		
布	布	bù	布料，麻布	（名词）	
布	佈	bù	布告，布施，公布，分布，摆布	（动词）遍及，散满，宣布，宣告，安排，设置	
部	部	bù	部分，全部		
簿	簿	bù	电话簿		
步	步	bù	步行，进步		
怖	怖	bù	恐怖		
不	不	bù			
钚	鈈	bù		化学元素94	
埠	埠	bù	埠头，开埠，船埠，华埠	码头，通商的口岸城市	
巴	巴	bā	巴结，巴望，巴士，巴不得		
吧	吧	bā	吧台，吧嗒，吧唧，酒吧，沙拉吧，吧的一声	（音译词）小酒馆；（象声词）爆裂声	
笆	笆	bā	篱笆		
芭	芭	bā	芭蕉		
疤	疤	bā	疤痕，伤疤		
叭	叭	bā			
捌	捌	bā		数字“八”的大写	
粑	粑	bā	糍粑	饼类食品	
扒	扒	bā	扒洞，扒土，扒堤，扒开，扒皮，扒衣裳，扒下来，扒在一起	刨，挖，拆，拨动，剥开，扯掉	
八	八	bā/bá		（数字）	
掰	掰	bāi			
般	般	bān	一般，那般，百般，万般无奈，如此这般	种，样，种类	
扳	扳	bān	扳手，扳机		
班	班	bān	班长，上班		
斑	斑	bān	斑点，雀斑		
瘢	瘢	bān	瘢痕	创伤痊愈后留下的疤痕	
颁	頒	bān	颁奖，颁发，颁布		
搬	搬	bān	搬家，搬运，搬移		
梆	梆	bāng	梆子，梆子腔	（象声词）敲打木头的声音	
邦	邦	bāng	邦国，联邦		
帮	幫	bāng	帮忙，帮助		
浜	浜	bāng	河浜，洋泾浜	（方言）小河，小河沟	
孢	孢	bāu	孢子	植物产生的生殖细胞	
胞	胞	bāu	胞胎，同胞		
包	包	bāu	包含，包裹		
剥	剝	bāu	剝皮，剝殼，剝蘋果	去掉外面的皮壳	
褒	褒	bāu	褒贬		
龅	齙	bāu	龅牙	突出唇外的牙齿	
苞	苞	bāu	花苞，含苞待放		
碑	碑	bēi	碑文，石碑		
背	背	bēi	背债，背负，背包，背枪，背黑锅，背包袱，背小孩，背责任，背起来，背得起，背负重任	（动词）用脊背驮东西	揹
杯	杯	bēi	杯子，茶杯		盃
卑	卑	bēi	卑微，自卑		
悲	悲	bēi	悲哀，慈悲		
奔	奔	bēn	奔走，奔驰，狂奔		
贲	賁	bēn	贲张，贲门，虎贲	膈膜，横隔膜	
绷	繃	bēng	绷紧，绷带	张紧，拉紧	綳
崩	崩	bēng	崩溃，山崩		
北	北	běi	北边，北部，败北		
本	本	běn	本来，原本		
畚	畚	běn	畚箕		
苯	苯	běn	聚苯乙烯		
绷	繃	běng	绷脸	板着，强忍住	
逼	逼	bī	逼迫		
屄	屄	bī		俗称女性外生殖器	
宾	賓	bīn	宾馆，贵宾		
滨	濱	bīn			
缤	繽	bīn	缤纷	繁多而交错杂乱	
斌	斌	bīn			
彬	彬	bīn	彬彬有礼		
濒	瀕	bīn	濒临，濒死		
傧	儐	bīn	傧相，男傧相，女傧相	举行婚礼时陪伴新郎新娘的人	
冰	冰	bīng	冰箱，结冰		
兵	兵	bīng	兵役，士兵		
并	并	bīng		（地名）山西省太原市的别称	
槟	檳	bīng/bīn	槟榔		
晡	晡	bū	晡礼	申时，下午三点到五点	
靶	靶	bǎ	靶子，打靶		
把	把	bǎ	把握，火把		
钯	鈀	bǎ		化学元素46	
摆	擺	bǎi	摆设，摇摆		
百	百	bǎi	百万，一百	（数字）	
柏	柏	bǎi	柏树，松柏，侧柏	一种常绿乔木	
摆	襬	bǎi	裙摆，下摆	衣裙的下端	
佰	佰	bǎi		数字“百”的大写	
捭	捭	bǎi	捭阖	分开	
伯	伯	bǎi	大伯子	丈夫的哥哥	
柏	柏	bǎi/bwó	柏油，柏油路	沥青	
板	板	bǎn	板块，木板		
舨	舨	bǎn	舢舨		
版	版	bǎn	版权，出版		
板	闆	bǎn	老板		
坂	坂	bǎn		山坡，斜坡	阪
绑	綁	bǎng	绑架，捆绑		
膀	膀	bǎng	肩膀，臂膀，翅膀		
榜	榜	bǎng	排行榜		
葆	葆	bǎu		草木繁盛	
饱	飽	bǎu	饱满，饱和，吃饱		
堡	堡	bǎu	堡垒，城堡		
宝	寶	bǎu	宝库，宝藏，珍宝		
鸨	鴇	bǎu	鸨母，老鸨	开妓院的女老板	
保	保	bǎu	保护，保持		
比	比	bǐ	比较，比率，反比		
妣	妣	bǐ	考妣，如丧考妣	指过世的母亲	
吡	吡	bǐ	吡啶，吡咯	（音译用字）一种有机化合物	
笔	筆	bǐ	笔墨，毛笔		
彼	彼	bǐ	彼此，彼岸		
匕	匕	bǐ	匕首		
秕	秕	bǐ	秕子，秕糠，秕政	中空或不饱满的谷粒	
鄙	鄙	bǐ/bì	鄙夷，卑鄙		
屏	屏	bǐng	屏气，屏息，屏除，屏弃，屏住呼吸	压制，抑止，停止，排除	
丙	丙	bǐng			
禀	稟	bǐng	禀报，禀赋，禀性		
炳	炳	bǐng			
柄	柄	bǐng	把柄，话柄，笑柄		
秉	秉	bǐng	秉持，秉性，秉承		
饼	餅	bǐng	饼干，馅饼		
昺	昺	bǐng		明亮，光明	
补	補	bǔ	补充，弥补		
捕	捕	bǔ	捕捉，逮捕		
哺	哺	bǔ	哺乳		
卜	卜	bǔ	卜卦，占卜		
叱	叱	chr`	叱咤		
赤	赤	chr`			
斥	斥	chr`	斥责，喝斥		
炽	熾	chr`	炽热	火旺	
敕	敕	chr`	敕令	皇帝的命令	
翅	翅	chr`	翅膀，鱼翅		
彳	彳	chr`	彳亍	小步，走路时左脚前行	
饬	飭	chr`	饬令，整饬	谨慎，恭敬	
吃	吃	chr¯	吃饭，小吃		喫
痴	癡	chr¯	痴情，白痴		
哧	哧	chr¯	哧哧，噗哧	（象声词）	
魑	魑	chr¯	魑魅	传说中山林里的鬼怪	
嗤	嗤	chr¯			
笞	笞	chr¯	笞打，鞭笞	用鞭、杖、或竹板打	
鸱	鴟	chr¯	鸱鸮，鸱鸺	鹞鹰，一种猛禽	
蚩	蚩	chr¯	蚩尤	无知，傻	
眵	眵	chr¯	眼眵	眼屎	
螭	螭	chr¯		没有角的龙	
池	池	chr´	池塘，泳池		
持	持	chr´	持有，支持		
迟	遲	chr´	迟钝，来迟		
驰	馳	chr´	驰名，奔驰		
匙	匙	chr´	汤匙，羹匙，茶匙，药匙	勺子	
篪	篪	chr´		一种古代吹奏乐器	
弛	弛	chr´	松弛		
墀	墀	chr´	丹墀	台阶上的平地或空地	
茌	茌	chr´	茌平	（地名）	
褫	褫	chrˇ	褫职，褫奪公權	革除，夺去；剥去衣服	
侈	侈	chrˇ	奢侈		
尺	尺	chrˇ			
耻	恥	chrˇ	耻辱，无耻		
呎	呎	chrˇ		英尺	
齿	齒	chrˇ	齿轮，牙齿		
豉	豉	chrˇ/shr`	豆豉		
踹	踹	chwài	踹门，踹一脚		
揣	揣	chwài	挣揣	挣扎	
啜	啜	chwài		（姓）	
嘬	嘬	chwài	嘬食，嘬饭	咬，大口吞咽	
膪	膪	chwài	囊膪		
串	串	chwàn	串通，字串		
创	創	chwàng	创办，创建，创刊，创举，首创	初次，开始做	
怆	愴	chwàng		悲伤，哀伤	
传	傳	chwán	传统，传授，传奇，传说，传承，传播，传染，传话，传唤，传神，传热，传情，相传，据传，遗传，宣传	转授，递送，散布，表达	
船	船	chwán	船长，渔船		
椽	椽	chwán	椽子，椽笔	古代建筑中承接木条和屋顶的木材	
床	床	chwáng	床单，起床		牀
幢	幢	chwáng	幢幡，旗幢，石幢，经幢，人影幢幢	（古）旌旗的一种；刻着佛号或经咒的石柱	
捶	捶	chwéi	捶打，捶背	用拳头或棍棒敲打	搥
锤	錘	chwéi	锤子，铁锤	敲打东西的工具；用锤子敲打	鎚
垂	垂	chwéi	垂直，下垂		
槌	槌	chwéi	木槌，棒槌	敲打东西的器具	
陲	陲	chwéi	边陲	边界，边地，边疆	
鹑	鶉	chwén	鹌鹑		
淳	淳	chwén	淳朴		
醇	醇	chwén	醇厚，甘醇		
纯	純	chwén	纯朴，单纯		
唇	脣	chwén	唇舌，嘴唇		
绰	綽	chwò	绰号，阔绰		
啜	啜	chwò	啜泣	喝；哭泣而抽噎的样子	
龊	齪	chwò	龌龊		
辍	輟	chwò	辍学，中辍		
辵	辵	chwò	辵部	忽走忽停	
揣	揣	chwāi	揣手，揣在怀里	藏在衣服里	
搋	搋	chwāi	搋面，搋子	用手使劲揉或压东西	
穿	穿	chwān	穿孔，试穿		
川	川	chwān			
窗	窗	chwāng	窗户，门窗		
创	創	chwāng	创伤，创痕，创口，重创，刀创，重创敌军	伤口，打击	
疮	瘡	chwāng	疮疤，痔疮		
炊	炊	chwēi	炊具，炊事，炊烟		
吹	吹	chwēi	吹牛，吹口哨，自吹		
春	春	chwēn	春天，青春		
椿	椿	chwēn	椿树，香椿	一种落叶乔木	
蝽	蝽	chwēn		椿象，一种昆虫	
蠢	蠢	chwěn	蠢笨，愚蠢		
戳	戳	chwō	戳破，邮戳		
揣	揣	chwǎi	揣测，揣度，揣摩	估计，估量，推测，忖度	
喘	喘	chwǎn	喘气，哮喘		
舛	舛	chwǎn	舛差，舛错，命运多舛	困厄，不顺利，错误，错乱	
闯	闖	chwǎng	闯祸，乱闯		
券	券	chywàn	奖券，赠券		
劝	勸	chywàn	劝告，相劝		
全	全	chywán	全部，完全		
泉	泉	chywán	泉水，源泉，矿泉		
拳	拳	chywán	拳头		
权	權	chywán	权力，权利		
痊	痊	chywán	痊愈		
诠	詮	chywán	诠释		
蜷	蜷	chywán	蜷缩，蜷曲	肢体不伸展	
颧	顴	chywán	颧骨		
铨	銓	chywán			
醛	醛	chywán	酚醛塑料		
鬈	鬈	chywán	鬈发	毛发卷曲	
荃	荃	chywán			
筌	筌	chywán	得鱼忘筌	捕鱼的竹器	
悫	慤	chywè		诚实，忠厚	
确	確	chywè	确实，准确		
雀	雀	chywè	雀跃，麻雀		
却	卻	chywè	忘却，冷却		
鹊	鵲	chywè	喜鹊		
榷	榷	chywè	商榷	商讨	
阙	闕	chywè	天阙，宫阙	古代宫殿门前两边的瞭望楼台，泛指帝王	
阕	闋	chywè			
瘸	瘸	chywé	瘸腿，瘸子		
圈	圈	chywān	圈子，圈套，圈点，圈选，圆圈，花圈，绕圈，项圈	环形的东西	
悛	悛	chywān	怙恶不悛	悔改，改过	
缺	缺	chywē	缺乏，欠缺		
炔	炔	chywē	炔烃，乙炔		
犬	犬	chywǎn	猎犬，警犬，鸡犬不宁	狗	
畎	畎	chywǎn	畎亩	田间小沟	
绻	綣	chywǎn	缱绻		
恰	恰	chyà	恰当，恰好，恰恰		
洽	洽	chyà	洽商，面洽，融洽		
髂	髂	chyà	髂骨		
欠	欠	chyàn	欠缺，欠佳，哈欠		
歉	歉	chyàn	歉意，抱歉		
嵌	嵌	chyàn	镶嵌		
芡	芡	chyàn	芡实，勾芡		
倩	倩	chyàn	倩影		
堑	塹	chyàn	堑壕，天堑		
茜	茜	chyàn	茜草，茜纱	红色	
跄	蹌	chyàng	踉跄		
戗	戧	chyàng	戗住，戗面，够戧，戗不住	支撑，支持，承受；填	
呛	嗆	chyàng	呛人	刺激性的气味使人呼吸感到难受	
炝	熗	chyàng	炝锅	一种烹调方法	
俏	俏	chyàu	俏皮，俊俏		
鞘	鞘	chyàu	剑鞘		
窍	竅	chyàu	窍门，诀窍		
壳	殼	chyàu	外壳，地壳，金蝉脱壳	硬的外皮	
撬	撬	chyàu			
峭	峭	chyàu	峭壁，陡峭		
翘	翹	chyàu	翘尾巴，翘辫子	一端向上扬起，突起，高起	
偢	偢	chyàu		（方言）傻	
诮	誚	chyàu			
拤	拤	chyá	拤腰	用手掐住	
前	前	chyán	前面，以前		
潜	潛	chyán	潜水，潜力，潜意识		
乾	乾	chyán	乾坤，乾宅	八卦之一，代表天、男方等意思	
黔	黔	chyán	黔驴技穷		
钱	錢	chyán	钱币，赚钱		
掮	掮	chyán	掮客	运在肩上	
钳	鉗	chyán			
虔	虔	chyán	虔诚		
犍	犍	chyán	犍为县	（地名）	
墙	牆	chyáng	墙壁，围墙		墻
樯	檣	chyáng	帆樯，桅樯	船上挂帆的桅杆	
强	強	chyáng	强壮，强大，坚强	有力	
蔷	薔	chyáng	蔷薇		
瞧	瞧	chyáu	瞧见，小瞧		
翘	翹	chyáu	翘首，翘盼	举起，抬起，向上	
荞	蕎	chyáu	荞麦，荞面饸饹		
樵	樵	chyáu	樵夫	木柴	
乔	喬	chyáu	乔木，乔装	高	
桥	橋	chyáu	桥梁，天桥		
憔	憔	chyáu	憔悴		
侨	僑	chyáu	侨居，华侨	寄居国外	
锲	鍥	chyè	锲而不舍	用刀子刻	
妾	妾	chyè	爱妾，纳妾，臣妾		
窃	竊	chyè	窃喜，偷窃		
切	切	chyè	切实，切题，切记，切齿，一切，亲切，密切，贴切，迫切，急切，恳切，心切，切身，不切实际	贴近，密合，符合，急迫，务必，一定，所有的	
箧	篋	chyè	囊箧羞涩，倾箱倒箧	箱子一类的东西	
惬	愜	chyè	惬意		
挈	挈	chyè	挈领，扶老挈幼	提起，举起，提携，带领	
怯	怯	chyè/chywè	怯懦，胆怯		
茄	茄	chyé	茄子，番茄	一种蔬菜	
犰	犰	chyóu	犰狳		
虬	虯	chyóu	虬髯，虬龙		
求	求	chyóu	求学，请求		
囚	囚	chyóu	囚犯，死囚		
毬	毬	chyóu		古代皮制球	
酋	酋	chyóu	酋长，阿联酋	部落的首领	
泅	泅	chyóu	泅水		
仇	仇	chyóu		（姓）	
逑	逑	chyóu	君子好逑	配偶	
球	球	chyóu	球场，地球		
裘	裘	chyóu	狐裘，集腋成裘		
遒	遒	chyóu	遒劲，遒健	强健	
璆	璆	chyóu	璆琳，璆然，璆磬	美玉	
𨱇	銶	chyóu		一种凿子	
俅	俅	chyóu	俅人，俅江	恭顺的样子	
去	去	chyù			
觑	覷	chyù	小觑，面面相觑	看	
趣	趣	chyù	趣味，兴趣		
瞿	瞿	chyú		（姓）	
蠼	蠼	chyú	蠼螋		蠷
渠	渠	chyú	渠道，排水渠		
璩	璩	chyú	耳璩	玉环，古代耳环	
朐	朐	chyú	临朐	（地名）	
衢	衢	chyú	衢道，通衢	大路，四通八达的道路	
劬	劬	chyú	劬劬，劬劳	勤劳，劳苦	
群	群	chyún	群众，人群		羣
裙	裙	chyún	裙子，围裙		
琼	瓊	chyúng	琼瑶	美玉，精美	
穷	窮	chyúng	穷困，贫穷		
邛	邛	chyúng	邛崃	（地名）	
穹	穹	chyúng/chyūng	穹顶，苍穹	天空	
掐	掐	chyā	掐着指头		
袷	袷	chyā	袷袢	一种对襟长袍	
葜	葜	chyā	菝葜		
谦	謙	chyān	谦虚，谦让，谦逊		
千	韆	chyān	秋千	（数字）	
牵	牽	chyān	牵手，牵连，牵挂		
迁	遷	chyān	迁移，变迁		
骞	騫	chyān			
仟	仟	chyān		数字“千”的大写	
铅	鉛	chyān	铅笔		
签	籤	chyān	签子，牙签，书签，标签		簽
千	千	chyān			
签	簽	chyān	签名，签证，签注		
阡	阡	chyān	阡陌	田间小路	
芊	芊	chyān	芊芊	草木茂盛的样子	
枪	槍	chyāng	枪械，开枪		鎗
腔	腔	chyāng	腔调，京腔		
戗	戧	chyāng	戗风，说戗了，说话戗人	逆，不顺，方向相对；决裂，言语冲突	
锵	鏘	chyāng	锵锵，铿锵	（象声词）	
呛	嗆	chyāng	呛水，呛着，够呛	食物进入气管而引起咳嗽	
羌	羌	chyāng	羌族		
蜣	蜣	chyāng	蜣螂		
抢	搶	chyāng	抢风，抢眼，呼天抢地	触，撞，触碰，碰撞	
戕	戕	chyāng/chyáng	戕害，自戕	杀害	
悄	悄	chyāu	悄悄，悄悄话，静悄悄		
跷	蹺	chyāu			
敲	敲	chyāu	敲门，推敲	击打	
橇	橇	chyāu	雪橇		
锹	鍬	chyāu	铁锹，锹把	一种铲土的工具	
雀	雀	chyāu	雀子	雀斑	
切	切	chyē	切割，切菜，切开，切断，切入，切磋，切面	用刀把东西切断	
且	且	chyě	且慢，而且		
秋	秋	chyōu	秋天，入秋		
丘	丘	chyōu	丘陵，山丘		
秋	鞦	chyōu	秋千		
蚯	蚯	chyōu	蚯蚓		
鳅	鰍	chyōu	泥鳅		
邱	邱	chyōu		（姓）	
楸	楸	chyōu			
龟	龜	chyōu	龟兹	（古）国名	
蛆	蛆	chyū	蛆虫，蝇蛆	苍蝇的幼虫	
躯	軀	chyū	躯体，身躯		
岖	嶇	chyū	崎岖不平		
区	區	chyū	区域，地区		
屈	屈	chyū	屈指，委屈		
趋	趨	chyū	趋势，日趋严重		
祛	祛	chyū	祛除，祛病，祛疑	去除	
驱	驅	chyū	驱动，驱散，驱逐		
曲	曲	chyū	曲折，弯曲	弯的	
胠	胠	chyū	胠箧，胠橐	从旁边撬开或打开	
诎	詘	chyū		屈服，折服；艰涩，钝拙	
袪	袪	chyū			
曲	麴	chyū/chyú	酒曲，曲蘖	用来酿酒的发酵剂	
卡	卡	chyǎ	卡住，卡紧，卡子，关卡，发卡，税卡	夹在中间不能活动；夹子	
遣	遣	chyǎn	遣送，派遣，消遣		
浅	淺	chyǎn	浅薄，浅显，肤浅，搁浅	不深	
谴	譴	chyǎn	谴责，天谴	责备，申斥	
缱	繾	chyǎn	缱绻		
抢	搶	chyǎng	抢劫，抢夺，抢救，抢先，抢走，争抢	夺取，硬拿	
强	強	chyǎng	强迫，强求，勉强，牵强，强词夺理，强人所难，牵强附会	硬要，迫使，勉强	
羟	羥	chyǎng	羟基	氢氧基	
悄	悄	chyǎu	悄没声，悄然		
巧	巧	chyǎu	巧合，技巧		
雀	雀	chyǎu	雀盲眼，家雀儿	（方言）雀，麻雀	
糗	糗	chyǒu	糗事，出糗		
曲	曲	chyǔ	歌曲，曲子	歌	
取	取	chyǔ	取悦，采取		
娶	娶	chyǔ	娶妻，娶亲，娶媳妇		
苣	苣	chyǔ	苣荬菜		
龋	齲	chyǔ	龋齿	牙齿蛀坏	
刹	剎	chà	刹那，古刹，刹那间，古刹	佛寺	
杈	杈	chà	树杈	植物的分枝	
诧	詫	chà	诧异		
差	差	chà	差劲，很差，差一点，差不多	缺，不好，不相合	
岔	岔	chà	打岔，分岔路，三岔路口	道路分支的地方	
叉	叉	chà	劈叉，排叉儿	叉开双腿的动作	
姹	姹	chà	姹紫嫣红	艳丽	奼
衩	衩	chà		衣裙下边开的口子	
汊	汊	chà	汊子，汊流，河汊，湖汊，河汊子	分支的小河	
虿	蠆	chài	蜂虿	古书上说的蝎子之类的毒虫	
忏	懺	chàn	忏悔		
颤	顫	chàn	颤抖，颤动，震颤	发抖	
羼	羼	chàn	羼杂，羼入	搀和，混杂	
怅	悵	chàng	怅惘，惆怅	伤感	
畅	暢	chàng	畅销，舒畅		
唱	唱	chàng	唱歌，吟唱	口发出歌声	
倡	倡	chàng	倡导，提倡	带头发起	
鬯	鬯	chàng	鬯圭，鬯酒，鬯逐	古代祭祀等用的香酒	
茶	茶	chá	茶叶，喝茶		
