啊	啊	a·	不錯啊，多美啊，快來啊，很好啊，小心啊	（助詞）表示贊歎、驚歎、疑問、肯定、辯解、催促，停頓、列舉等語氣	
鋇	钡	bèi		化學元素56	
倍	倍	bèi	一倍，兩倍		
被	被	bèi	被子，被害		
輩	辈	bèi	輩子，前輩		
糒	糒	bèi	醪糒	乾飯	
笨	笨	bèn	笨拙		
泵	泵	bèng			
鏰	镚	bèng	鏰子，鋼鏰兒	硬幣	
迸	迸	bèng	迸發，迸裂，迸濺		
蹦	蹦	bèng	蹦蹦跳跳		
繃	绷	bèng	繃硬，繃亮，繃了一道縫兒	裂開；（用於形容詞前表示程度深）非常，很	綳
蚌	蚌	bèng	蚌埠	（地名）	
甭	甭	béng	甭客氣		
必	必	bì	必要，何必		
閉	闭	bì	閉門，關閉		
弊	弊	bì	作弊		
避	避	bì	避開，逃避		
畢	毕	bì	畢業，完畢		
幣	币	bì	貨幣		
臂	臂	bì	臂膀，臂力，一臂之力		
壁	壁	bì	壁虎，牆壁		
斃	毙	bì	斃了，槍斃		
庇	庇	bì	庇護		
蔽	蔽	bì	遮蔽，矇蔽，屏蔽		
碧	碧	bì	碧綠，碧玉		
裨	裨	bì	裨益，無裨於事，大有裨益	補助	
狴	狴	bì	狴犴	傳說中的獸名	
觱	觱	bì	觱篥	一種古代管樂器	
贔	赑	bì	贔屭	用力的樣子	
陛	陛	bì	陛下		
愎	愎	bì	剛愎自用	倔強，固執	
嗶	哔	bì			
篳	筚	bì	蓬門篳戶，篳路藍縷	用竹子等編成的籬笆	
辟	辟	bì	辟邪，復辟	國王，天子，避免	
痺	痹	bì	痲痺		
弼	弼	bì	輔弼	輔助	
敝	敝	bì	敝人		
璧	璧	bì	完璧歸趙		
秘	秘	bì	秘魯		
箆	箆	bì	竹箆		
蓽	荜	bì	蓽茇，蓬蓽生輝	一種藤本植物	
鉍	铋	bì		化學元素83	
苾	苾	bì		芳香	
蹕	跸	bì	駐蹕	泛指跟帝王行止有關的事情	
馝	馝	bì	馝馞	香氣濃郁	
賁	贲	bì	賁臨，賁然	裝飾美好，華麗，光潔	
襞	襞	bì	襞積，皺襞	衣服、皮膚、內部器官等等的皺紋	
嬖	嬖	bì			
潷	滗	bì			
婢	婢	bì/bèi	婢女，奴婢		
殯	殡	bìn	殯儀館，出殯		
鬢	鬓	bìn	鬢髮，雙鬢		
擯	摈	bìn	擯棄，擯除	排除，遺棄	
病	病	bìng	病人，生病		
併	并	bìng	合併		
並	并	bìng	並且，並沒有		
鼻	鼻	bí	鼻子，象鼻		
荸	荸	bí	荸薺		
擘	擘	bò	巨擘，文壇巨擘	大拇指；巨擘：傑出的人物	
簸	簸	bò	簸箕	（名詞）	
薄	薄	bò	薄荷，薄荷糖，薄荷油，薄荷腦，薄荷葉	薄荷，一種草本植物	
伯	伯	bó	伯父，伯母，伯爵，伯兄，伯伯，大伯，老伯，伯仲之間，伯樂相馬	父親的哥哥	
薄	薄	bó	薄弱，薄酬，淺薄，刻薄，菲薄，薄利多銷	（用於合成詞和成語）扁平，不厚	
柏	柏	bó	柏林，柏拉圖，都柏林	（地名、人名）譯音字	
脖	脖	bó	脖子		
搏	搏	bó	搏鬥，肉搏		
膊	膊	bó	胳膊，赤膊	上肢，上身	
泊	泊	bó	停泊，漂泊，泊位，淡泊	停船靠岸	
勃	勃	bó	興緻勃勃		
渤	渤	bó	渤海		
博	博	bó	博士，博愛		
駁	驳	bó	駁斥，反駁		
鉑	铂	bó		化學元素78	
帛	帛	bó	帛琉，布帛		
舶	舶	bó	船舶，舶來品	大船	
箔	箔	bó	金箔，鋁箔紙		
礴	礴	bó	磅礴，氣勢磅礴		
亳	亳	bó	亳州	（地名）	
馞	馞	bó	馝馞	香氣濃郁	
僰	僰	bó		中國古代少數民族之一	
欂	欂	bó	欂櫨	斗栱，一種梁柱間的銜接結構	
鈸	钹	bó/bá	鐃鈸	一種銅質的打擊樂器	
布	布	bù	布料，麻布	（名詞）	
佈	布	bù	佈告，佈施，公佈，分佈，擺佈	（動詞）遍及，散滿，宣告，安排，設置	
部	部	bù	部分，全部		
簿	簿	bù	電話簿		
步	步	bù	步行，進步		
怖	怖	bù	恐怖		
不	不	bù			
鈈	钚	bù		化學元素94	
埠	埠	bù	埠頭，開埠，船埠，華埠	碼頭，通商的口岸城市	
巴	巴	bā	巴結，巴望，巴士，巴不得		
吧	吧	bā	吧枱，吧嗒，吧唧，酒吧，沙拉吧，吧的一聲	（音譯詞）小酒館；（象聲詞）爆裂聲	
笆	笆	bā	籬笆		
芭	芭	bā	芭蕉		
疤	疤	bā	疤痕，傷疤		
叭	叭	bā			
捌	捌	bā		數字“八”的大寫	
粑	粑	bā	糍粑	餅類食品	
扒	扒	bā	扒洞，扒土，扒堤，扒開，扒皮，扒衣裳，扒下來，扒在一起	刨，挖，拆，撥動，剝開，扯掉	
八	八	bā/bá		（數字）	
掰	掰	bāi			
般	般	bān	一般，那般，百般，萬般無奈，如此這般	種，樣，種類	
扳	扳	bān	扳手，扳機		
班	班	bān	班長，上班		
斑	斑	bān	斑點，雀斑		
瘢	瘢	bān	瘢痕	創傷痊癒後留下的疤痕	
頒	颁	bān	頒獎，頒發，頒佈		
搬	搬	bān	搬家，搬運，搬移		
梆	梆	bāng	梆子，梆子腔	（象聲詞）敲打木頭的聲音	
邦	邦	bāng	邦國，聯邦		
幫	帮	bāng	幫忙，幫助		
浜	浜	bāng	河浜，洋涇浜	（方言）小河，小河溝	
孢	孢	bāo	孢子	植物產生的生殖細胞	
胞	胞	bāo	胞胎，同胞		
包	包	bāo	包含，包裹		
剝	剥	bāo	剝皮，剝殼，剝蘋果	去掉外面的皮殼	
褒	褒	bāo	褒貶		
齙	龅	bāo	齙牙	突出脣外的牙齒	
苞	苞	bāo	花苞，含苞待放		
碑	碑	bēi	碑文，石碑		
背	背	bēi	背債，背負，背包，背槍，背黑鍋，背包袱，背小孩，背責任，背起來，背得起，背負重任	（動詞）用脊背馱東西	揹
杯	杯	bēi	杯子，茶杯		盃
卑	卑	bēi	卑微，自卑		
悲	悲	bēi	悲哀，慈悲		
奔	奔	bēn	奔走，奔馳，狂奔		
賁	贲	bēn	賁張，賁門，虎賁	膈膜，橫隔膜	
繃	绷	bēng	繃緊，繃帶	張緊，拉緊	綳
崩	崩	bēng	崩潰，山崩		
北	北	běi	北邊，北部，敗北		
本	本	běn	本來，原本		
畚	畚	běn	畚箕		
苯	苯	běn	聚苯乙烯		
繃	绷	běng	繃臉	板著，強忍住	
逼	逼	bī	逼迫		
屄	屄	bī		俗稱女性外生殖器	
賓	宾	bīn	賓館，貴賓		
濱	滨	bīn			
繽	缤	bīn	繽紛	繁多而交錯雜亂	
斌	斌	bīn			
彬	彬	bīn	彬彬有禮		
瀕	濒	bīn	瀕臨，瀕死		
儐	傧	bīn	儐相，男儐相，女儐相	舉行婚禮時陪伴新郎新娘的人	
冰	冰	bīng	冰箱，結冰		
兵	兵	bīng	兵役，士兵		
并	并	bīng		（地名）山西省太原市的別稱	
檳	槟	bīng/bīn	檳榔		
剝	剥	bō	剝奪，剝削，剝離，生吞活剝	（用於合成詞和成語）去掉外面的皮殼	
玻	玻	bō	玻璃		
撥	拨	bō	撥號，挑撥		
波	波	bō	波浪，電波		
菠	菠	bō	菠菜		
缽	钵	bō	飯缽，衣缽	一種圓形器具，像碗而口略小	鉢，砵
般	般	bō	般若	（梵文音譯詞）	
趵	趵	bō		踢	
播	播	bō/bò	播放，傳播		
晡	晡	bū	晡禮	申時，下午三點到五點	
靶	靶	bǎ	靶子，打靶		
把	把	bǎ	把握，火把		
鈀	钯	bǎ		化學元素46	
擺	摆	bǎi	擺設，搖擺		
百	百	bǎi	百萬，一百	（數字）	
柏	柏	bǎi	柏樹，松柏，側柏	一種常綠喬木	
襬	摆	bǎi	裙襬，下襬	衣裙的下端	
佰	佰	bǎi		數字“百”的大寫	
捭	捭	bǎi	捭闔	分開	
伯	伯	bǎi	大伯子	丈夫的哥哥	
柏	柏	bǎi/bó	柏油，柏油路	瀝青	
板	板	bǎn	板塊，木板		
舨	舨	bǎn	舢舨		
版	版	bǎn	版權，出版		
闆	板	bǎn	老闆		
坂	坂	bǎn		山坡，斜坡	阪
綁	绑	bǎng	綁架，捆綁		
膀	膀	bǎng	肩膀，臂膀，翅膀		
榜	榜	bǎng	排行榜		
葆	葆	bǎo		草木繁盛	
飽	饱	bǎo	飽滿，飽和，吃飽		
堡	堡	bǎo	堡壘，城堡		
寶	宝	bǎo	寶庫，寶藏，珍寶		
鴇	鸨	bǎo	鴇母，老鴇	開妓院的女老闆	
保	保	bǎo	保護，保持		
比	比	bǐ	比較，比率，反比		
妣	妣	bǐ	考妣，如喪考妣	指過世的母親	
吡	吡	bǐ	吡啶，吡咯	（音譯用字）一種有機化合物	
筆	笔	bǐ	筆墨，毛筆		
彼	彼	bǐ	彼此，彼岸		
匕	匕	bǐ	匕首		
秕	秕	bǐ	秕子，秕糠，秕政	中空或不飽滿的穀粒	
鄙	鄙	bǐ/bì	鄙夷，卑鄙		
屏	屏	bǐng	屏氣，屏息，屏除，屏棄，屏住呼吸	壓制，抑止，停止，排除	
丙	丙	bǐng			
稟	禀	bǐng	稟報，稟賦，稟性		
炳	炳	bǐng			
柄	柄	bǐng	把柄，話柄，笑柄		
秉	秉	bǐng	秉持，秉性，秉承		
餅	饼	bǐng	餅乾，餡餅		
昺	昺	bǐng		明亮，光明	
簸	簸	bǒ	顛簸	（動詞）	
跛	跛	bǒ	跛腳，跛子		
補	补	bǔ	補充，彌補		
捕	捕	bǔ	捕捉，逮捕		
哺	哺	bǔ	哺乳		
卜	卜	bǔ	卜卦，占卜		
踹	踹	chuài	踹門，踹一腳		
揣	揣	chuài	掙揣	掙扎	
啜	啜	chuài		（姓）	
嘬	嘬	chuài	嘬食，嘬飯	咬，大口吞咽	
膪	膪	chuài	囊膪		
串	串	chuàn	串通，字串		
創	创	chuàng	創辦，創建，創刊，創舉，首創	初次，開始做	
愴	怆	chuàng		悲傷，哀傷	
傳	传	chuán	傳統，傳授，傳奇，傳說，傳承，傳播，傳染，傳話，傳喚，傳神，傳熱，傳情，相傳，據傳，遺傳，宣傳	轉授，遞送，散佈，表達	
船	船	chuán	船長，漁船		
椽	椽	chuán	椽子，椽筆	古代建築中承接木條和屋頂的木材	
床	床	chuáng	床單，起床		牀
幢	幢	chuáng	幢幡，旗幢，石幢，經幢，人影幢幢	（古）旌旗的一種；刻著佛號或經咒的石柱	
捶	捶	chuí	捶打，捶背	用拳頭或棍棒敲打	搥
錘	锤	chuí	錘子，鐵錘	敲打東西的工具；用錘子敲打	鎚
垂	垂	chuí	垂直，下垂		
槌	槌	chuí	木槌，棒槌	敲打東西的器具	
陲	陲	chuí	邊陲	邊界，邊地，邊疆	
綽	绰	chuò	綽號，闊綽		
啜	啜	chuò	啜泣	喝；哭泣而抽噎的樣子	
齪	龊	chuò	齷齪		
輟	辍	chuò	輟學，中輟		
辵	辵	chuò	辵部	忽走忽停	
揣	揣	chuāi	揣手，揣在懷裡	藏在衣服裡	
搋	搋	chuāi	搋面，搋子	用手使勁揉或壓東西	
穿	穿	chuān	穿孔，試穿		
川	川	chuān			
窗	窗	chuāng	窗戶，門窗		
創	创	chuāng	創傷，創痕，創口，重創，刀創，重創敵軍	傷口，打擊	
瘡	疮	chuāng	瘡疤，痔瘡		
炊	炊	chuī	炊具，炊事，炊煙		
吹	吹	chuī	吹牛，吹口哨，自吹		
戳	戳	chuō	戳破，郵戳		
揣	揣	chuǎi	揣測，揣度，揣摩	估計，估量，推測，忖度	
喘	喘	chuǎn	喘氣，哮喘		
舛	舛	chuǎn	舛差，舛錯，命運多舛	困厄，不順利，錯誤，錯亂	
闖	闯	chuǎng	闖禍，亂闖		
剎	刹	chà	剎那，古剎，剎那間	佛寺	
杈	杈	chà	樹杈	植物的分枝	
詫	诧	chà	詫異		
差	差	chà	差勁，很差，差一點，差不多	缺，不好，不相合	
岔	岔	chà	打岔，分岔路，三岔路口	道路分支的地方	
叉	叉	chà	劈叉，排叉兒	叉開雙腿的動作	
姹	姹	chà	姹紫嫣紅	艷麗	奼
衩	衩	chà		衣裙下邊開的口子	
汊	汊	chà	汊子，汊流，河汊，湖汊，河汊子	分支的小河	
蠆	虿	chài	蜂蠆	古書上說的蠍子之類的毒蟲	
懺	忏	chàn	懺悔		
顫	颤	chàn	顫抖，顫動，震顫	發抖	
羼	羼	chàn	羼雜，羼入	攙和，混雜	
悵	怅	chàng	悵惘，惆悵	傷感	
暢	畅	chàng	暢銷，舒暢		
唱	唱	chàng	唱歌，吟唱	口發出歌聲	
倡	倡	chàng	倡導，提倡	帶頭發起	
鬯	鬯	chàng	鬯圭，鬯酒，鬯逐	古代祭祀等用的香酒	
茶	茶	chá	茶葉，喝茶		
查	查	chá	查看，檢查	察看，核對	
察	察	chá	察覺，考察		
搽	搽	chá		塗抹	
茬	茬	chá	找茬		
碴	碴	chá	找碴，話碴	小碎片；藉口，毛病	
槎	槎	chá	泛槎，星槎	木筏	
猹	猹	chá		一種野獸	
嵖	嵖	chá	嵖岈	（山名）	
檫	檫	chá		一種樹木	
垞	垞	chá		小山丘，小土山	
豺	豺	chái	豺狼		
儕	侪	chái	同儕	同輩，同類的人	
柴	柴	chái	柴油，火柴		
禪	禅	chán	禪宗，坐禪	指與佛教有關的事物	
蟾	蟾	chán	蟾蜍，蟾宮	癩蛤蟆	
纏	缠	chán	纏繞，盤纏		
讒	谗	chán	讒言，讒害	詆毀，說別人壞話	
潺	潺	chán	潺潺流水，溪水潺潺	流水聲	
饞	馋	chán	饞嘴，眼饞	貪吃	
蟬	蝉	chán	蟬蛻，蟬聯		
孱	孱	chán	孱弱	軟弱，弱小	
單	单	chán	單于	匈奴君主的稱號	
澶	澶	chán	澶淵	（古地名）	
腸	肠	cháng	腸道，心腸		
長	长	cháng	長度，長遠，專長，擅長		
嫦	嫦	cháng	嫦娥	傳說中月宮的女人	
嚐	尝	cháng	嚐鮮，品嚐		
場	场	cháng	一場，一場夢	（量詞）	
償	偿	cháng	償還，賠償		
徜	徜	cháng	徜徉	悠閒漫步	
常	常	cháng	常常，正常		
嘗	尝	cháng	嘗試，未嘗		
萇	苌	cháng	萇楚	（古）羊桃、獼猴桃的別名	
嘲	嘲	cháo	嘲笑，譏嘲		
巢	巢	cháo	巢穴，鳥巢		
潮	潮	cháo	潮水，高潮		
朝	朝	cháo	朝向，朝天，朝陽，王朝，朝廷	向，面對著	
撤	撤	chè	撤退，撤離		
澈	澈	chè	清澈		
徹	彻	chè	徹底		
掣	掣	chè	掣肘，牽掣，風馳電掣	拽，拉；迅疾，閃過	
趁	趁	chèn	趁熱，趁機		
襯	衬	chèn	襯衫，襯托		
讖	谶	chèn	讖言	將來要應驗的預言	
齔	龀	chèn		兒童換牙	
稱	称	chèn/chèng	稱職，稱心，稱體，對稱，市稱，磅稱，勻稱，稱心如意	適合，相等，相當	
秤	秤	chèng	磅秤，天秤座		稱
忱	忱	chén	熱忱		
陳	陈	chén	陳舊，陳述，陳列		
晨	晨	chén	晨練，早晨		
臣	臣	chén			
辰	辰	chén	誕辰，星辰，時辰		
沉	沉	chén	沉默，下沉		沈
塵	尘	chén	塵土，紅塵		
梣	梣	chén	梣樹	小葉白蠟樹，一種落葉小喬木	
諶	谌	chén		忠誠，真誠，誠信	
成	成	chéng	成功，變成		
程	程	chéng	程度，過程		
懲	惩	chéng	懲罰		
丞	丞	chéng	丞相		
乘	乘	chéng	乘客，搭乘		
城	城	chéng	城市，長城		
盛	盛	chéng	盛飯，盛湯	用容器裝東西	
澄	澄	chéng	澄清		
誠	诚	chéng	誠懇		
呈	呈	chéng	呈現		
承	承	chéng	承認，承受		
橙	橙	chéng	橙汁，柳橙		
埕	埕	chéng	蟶埕，酒埕	養蟶的田；酒甕	
澂	澂	chéng	澂江	（地名）	澄
晟	晟	chéng		（姓）	
宬	宬	chéng	皇史宬	（古）藏書室	
裎	裎	chéng	裸裎，袒裼裸裎	不穿衣服，光著身子	
珹	珹	chéng			
叱	叱	chì	叱吒		
赤	赤	chì			
斥	斥	chì	斥責，喝斥		
熾	炽	chì	熾熱	火旺	
敕	敕	chì	敕令	皇帝的命令	
翅	翅	chì	翅膀，魚翅		
彳	彳	chì	彳亍	小步，走路時左腳前行	
飭	饬	chì	飭令，整飭	謹慎，恭敬	
池	池	chí	池塘，泳池		
持	持	chí	持有，支持		
遲	迟	chí	遲鈍，來遲		
馳	驰	chí	馳名，奔馳		
匙	匙	chí	湯匙，羹匙，茶匙，藥匙	勺子	
篪	篪	chí		一種古代吹奏樂器	
弛	弛	chí	鬆弛		
墀	墀	chí	丹墀	台階上的平地或空地	
茌	茌	chí	茌平	（地名）	
銃	铳	chòng	火銃，鳥銃	槍械，火槍	
臭	臭	chòu	臭味，發臭	惡劣的氣味	
重	重	chóng	重新，重複，重來，重疊，重建，重申，重演，重逢，重溫，重圍，重洋，重重，雙重，九重天，重整旗鼓，重蹈覆轍，重見天日，舊地重遊，捲土重來	再，另，又一次	
崇	崇	chóng	崇拜，崇高		
蟲	虫	chóng			
仇	仇	chóu	仇人，仇恨，仇敵，結仇，恩仇，報仇，深仇大恨，恩將仇報，疾惡如仇	敵人，怨恨，敵意，報復	
酬	酬	chóu	酬金，報酬		
愁	愁	chóu	愁悶，憂愁		
籌	筹	chóu	籌備，籌款，籌募		
綢	绸	chóu	綢緞，絲綢		
疇	畴	chóu	範疇	種類，同類	
惆	惆	chóu	惆悵		
躊	踌	chóu	躊躇		
稠	稠	chóu	稠密		
儔	俦	chóu	儔侶，儔伴	伴侶，同伴，同類，同輩	
畜	畜	chù	畜類，牲畜，家畜	（名詞）人所飼養的禽獸	
矗	矗	chù	矗立		
觸	触	chù	觸摸，接觸		
處	处	chù	處所，處長，好處，遠處，到處	（名詞）地方	
搐	搐	chù	抽搐	牽動	
怵	怵	chù	怵惕，發怵	恐懼	
黜	黜	chù	罷黜		
亍	亍	chù	彳亍	小步，走路時右腳前行	
憷	憷	chù	憷頭，發憷	害怕，恐懼，畏縮	
躇	躇	chú	躊躇		
鋤	锄	chú	鋤頭，鋤草，鋤奸		
蜍	蜍	chú	蟾蜍		
芻	刍	chú	反芻動物	餵牲畜的草	
櫥	橱	chú	櫥窗，壁櫥		
廚	厨	chú	廚房，下廚		
雛	雏	chú	雛菊，雛形		
除	除	chú	除非，解除		
滁	滁	chú	滁河，滁州	（水名，地名）	
鶉	鹑	chún	鵪鶉		
淳	淳	chún	淳樸		
醇	醇	chún	醇厚，甘醇		
純	纯	chún	純樸，單純		
脣	唇	chún	脣舌，嘴脣		
插	插	chā	插入，穿插	放入	
叉	叉	chā	叉子，叉腰，叉手，叉兒，交叉，刀叉，魚叉，鋼叉，三叉戟	一種前端有幾個長齒的長柄器具；用叉子扎；交錯	
差	差	chā	差別，差異，差錯，差距，偏差，時差	不同，不同點，錯誤	
杈	杈	chā		一種叉形農具，用以堆柴草	
碴	碴	chā	鬍子拉碴	多日沒刮臉的樣子	
鍤	锸	chā		一種掘土的工具，鐵鍬	
拆	拆	chāi	拆開，拆卸，拆穿		
釵	钗	chāi			
差	差	chāi	差遣，差役，差使，差事，兼差，出差，郵差，當差	派遣去作事	
摻	掺	chān	摻和		
攙	搀	chān	攙扶，攙和	扶助，混合	
猖	猖	chāng	猖狂，猖獗		
倀	伥	chāng	為虎作倀		
昌	昌	chāng	昌盛		
菖	菖	chāng	菖蒲		
鯧	鲳	chāng	鯧魚		
娼	娼	chāng	娼妓	妓女	
鈔	钞	chāo			
抄	抄	chāo	抄寫，手抄		
超	超	chāo	超越，高超		
焯	焯	chāo	焯菠菜	在開水中略煮一下	
車	车	chē	汽車，馬車，公車，火車，紡車，水車，風車	指有輪子的運輸工具	
車	车	chē/jū	車馬，車駕，車騎，車轍，車載斗量，車笠之盟，車在馬前，車殆馬煩，車怠馬煩，輕車熟路，前車之鑑，輔車相依，輔車脣齒，杯水車薪，閉門造車，學富五車，安步當車	（用於古漢語）	
俥	伡	chē/jū	大俥		車
嗔	嗔	chēn	嗔怪，嗔責	生氣，怒	
琛	琛	chēn		珍寶	
瞋	瞋	chēn	瞋目	睜著眼睛怒視	
郴	郴	chēn	郴州	（地名）	
蟶	蛏	chēng	蟶子	一種介殼軟體動物	
撐	撑	chēng	撐傘，支撐		
瞠	瞠	chēng	瞠目，瞠目結舌	瞪著眼睛	
稱	称	chēng	稱呼，聲稱，名稱，簡稱，自稱，俗稱，稱一稱	叫，叫做；測定重量	
琤	琤	chēng	琮琤	玉石或其他物體的相擊聲	
扯	扯	chě	扯談，拉扯		
磣	碜	chěn	寒磣，牙磣	食物裡面有沙子	
騁	骋	chěng	馳騁		
逞	逞	chěng	逞強，得逞		
吃	吃	chī	吃飯，小吃		喫
癡	痴	chī	癡情，白癡		
哧	哧	chī	哧哧，噗哧	（象聲詞）	
魑	魑	chī	魑魅	傳說中山林里的鬼怪	
嗤	嗤	chī			
笞	笞	chī	笞打，鞭笞	用鞭、杖、或竹板打	
鴟	鸱	chī	鴟鴞，鴟鵂	鷂鷹，一種猛禽	
蚩	蚩	chī	蚩尤	無知，傻	
眵	眵	chī	眼眵	眼屎	
螭	螭	chī		沒有角的龍	
衝	冲	chōng	衝動，衝突		
涌	涌	chōng	河涌，蝦涌	（地名，方言）小河，河汊	
充	充	chōng	充分，充滿，充斥		
忡	忡	chōng	怔忡，憂心忡忡		
沖	冲	chōng	沖洗		
憧	憧	chōng	憧憬	憧憬：嚮往	
舂	舂	chōng			
抽	抽	chōu	抽煙，抽獎，抽象		
出	出	chū	出來，說出		
齣	出	chū	一齣戲		
初	初	chū	初級，起初		
樗	樗	chū/shū	樗櫟，山樗	臭椿，一種落葉喬木	
春	春	chūn	春天，青春		
椿	椿	chūn	椿樹，香椿	一種落葉喬木	
蝽	蝽	chūn		椿象，一種昆蟲	
叉	叉	chǎ	叉開，叉腿，叉開雙腿	分開成叉形	
蹅	蹅	chǎ		踩，踏	
衩	衩	chǎ	褲衩	貼身的短褲	
鑔	镲	chǎ		一種打擊樂器	
產	产	chǎn	產品，生產		
鏟	铲	chǎn	鏟子，鏟土，鐵鏟		
諂	谄	chǎn	諂媚，諂諛		
闡	阐	chǎn	闡釋，闡明，闡述		
氅	氅	chǎng	大氅	大衣	
場	场	chǎng	場合，廣場		
廠	厂	chǎng	工廠，廠商		
敞	敞	chǎng	敞開，寬敞		
昶	昶	chǎng			
炒	炒	chǎo	炒菜，小炒		
吵	吵	chǎo	吵架，爭吵		
褫	褫	chǐ	褫職，褫奪公權	革除，奪去；剝去衣服	
侈	侈	chǐ	奢侈		
尺	尺	chǐ			
恥	耻	chǐ	恥辱，無恥		
呎	呎	chǐ		英尺	
齒	齿	chǐ	齒輪，牙齒		
豉	豉	chǐ/shì	豆豉		
寵	宠	chǒng	寵物，寵壞		
丑	丑	chǒu	丑角，小丑		
醜	丑	chǒu	醜陋，出醜		
瞅	瞅	chǒu	瞅見，瞅得見，瞅不見，瞅空兒	（方言）看，看見，顧視，理睬	偢
處	处	chǔ	處理，處罰，懲處，相處	（動詞）	
褚	褚	chǔ		（姓）	
楚	楚	chǔ	楚楚可憐，清楚，苦楚		
